,serf1,serf2,serf3,serf4,serf5,serf6,serf7,serf8,serf9,serf10,serf11,serf12,serf13,serf14,serf15,serf16,serf17,serf18,serf19,serf20,serf21,serf22,serf23,serf24,serf25,serf26,serf27,serf28,serf29,serf30
serf1,0.000,1.086,2.080,3.124,4.139,5.078,6.095,7.091,8.116,9.142,12.170,13.146,14.092,15.183,16.125,17.132,18.178,19.136,20.141,21.237,14.207,15.127,16.182,17.129,18.122,19.180,20.115,21.201,22.261,23.129
serf2,1.122,0.000,3.131,4.160,5.146,6.075,7.116,8.139,9.141,10.175,13.219,14.101,15.202,16.299,17.149,18.183,19.154,20.168,21.150,22.266,15.130,16.144,17.121,18.188,19.150,20.158,21.132,22.144,23.124,24.164
serf3,2.109,3.172,0.000,5.159,6.129,7.106,8.161,9.144,10.113,11.160,14.167,15.243,16.250,17.159,18.166,19.141,20.175,21.131,22.141,23.222,16.256,17.123,18.274,19.119,20.161,21.179,22.273,23.180,24.280,25.168
serf4,3.181,4.151,5.158,0.000,7.114,8.181,9.195,10.182,11.189,12.208,15.258,16.116,17.120,18.177,19.166,20.193,21.197,22.179,23.239,24.237,17.170,18.173,19.137,20.172,21.201,22.163,23.249,24.138,25.175,26.136
serf5,4.168,5.147,6.150,7.142,0.000,9.098,10.150,11.154,12.106,13.153,16.247,17.185,18.153,19.236,20.209,21.156,22.223,23.206,24.179,25.283,18.139,19.150,20.121,21.174,22.148,23.289,24.126,25.152,26.148,27.115
serf6,5.069,6.087,7.160,8.165,9.157,0.000,11.156,12.094,13.120,14.169,17.320,18.237,19.161,20.152,21.143,22.162,23.161,24.340,25.188,26.220,19.166,20.136,21.155,22.146,23.139,24.347,25.219,26.303,27.141,28.171
serf7,6.130,7.116,8.151,9.153,10.173,11.136,0.000,13.146,14.146,15.120,18.208,19.308,20.159,21.189,22.229,23.175,24.158,25.271,26.241,27.142,20.176,21.189,22.215,23.134,24.162,25.186,26.153,27.135,28.153,29.186
serf8,7.105,8.105,9.150,10.156,11.148,12.147,13.091,0.000,15.172,16.144,19.175,20.152,21.183,22.184,23.158,24.197,25.272,26.153,27.275,28.194,21.136,22.145,23.138,24.160,25.155,26.134,27.196,28.180,29.208,30.168
serf9,8.175,9.134,10.099,11.092,12.133,13.210,14.188,15.191,0.000,17.106,20.179,21.177,22.176,23.205,24.202,25.154,26.194,27.131,28.202,29.167,22.248,23.157,24.156,25.235,26.190,27.222,28.143,29.125,30.339,31.151
serf10,9.084,10.101,11.145,12.134,13.149,14.161,15.096,16.113,17.114,0.000,21.170,22.194,23.256,24.201,25.243,26.178,27.219,28.180,29.127,30.163,23.140,24.311,25.147,26.327,27.220,28.151,29.128,30.168,31.268,32.243
serf11,12.159,13.137,14.154,15.152,16.159,17.253,18.148,19.247,20.159,21.133,0.000,1.108,2.093,3.122,4.163,5.111,6.105,7.113,8.091,9.113,16.158,17.121,18.219,19.120,20.117,21.145,22.133,23.148,24.180,25.245
serf12,13.248,14.148,15.139,16.174,17.168,18.163,19.151,20.245,21.144,22.152,1.080,0.000,3.158,4.172,5.106,6.114,7.161,8.193,9.138,10.150,17.156,18.141,19.216,20.135,21.201,22.206,23.261,24.149,25.161,26.136
serf13,14.129,15.161,16.149,17.133,18.185,19.242,20.132,21.148,22.284,23.204,2.052,3.159,0.000,5.163,6.127,7.098,8.154,9.067,10.167,11.108,18.145,19.142,20.262,21.159,22.111,23.125,24.180,25.193,26.141,27.133
serf14,15.256,16.130,17.127,18.097,19.144,20.335,21.143,22.175,23.132,24.187,3.104,4.108,5.138,0.000,7.164,8.124,9.155,10.148,11.153,12.125,19.121,20.198,21.248,22.303,23.151,24.187,25.187,26.143,27.168,28.226
serf15,16.188,17.146,18.127,19.123,20.127,21.235,22.277,23.103,24.178,25.115,4.134,5.172,6.194,7.180,0.000,9.115,10.112,11.148,12.145,13.157,20.146,21.161,22.280,23.170,24.136,25.180,26.186,27.261,28.153,29.267
serf16,17.245,18.154,19.155,20.152,21.166,22.309,23.285,24.296,25.141,26.109,5.108,6.100,7.142,8.102,9.135,0.000,11.088,12.145,13.082,14.100,21.180,22.257,23.152,24.306,25.122,26.111,27.158,28.172,29.266,30.129
serf17,18.126,19.242,20.175,21.135,22.181,23.259,24.101,25.144,26.180,27.199,6.140,7.116,8.124,9.179,10.177,11.189,0.000,13.154,14.132,15.133,22.196,23.232,24.162,25.161,26.151,27.111,28.150,29.159,30.119,31.161
serf18,19.173,20.220,21.153,22.132,23.178,24.258,25.147,26.154,27.158,28.153,7.116,8.096,9.083,10.175,11.184,12.148,13.178,0.000,15.160,16.163,23.178,24.141,25.126,26.224,27.148,28.156,29.303,30.350,31.239,32.296
serf19,20.154,21.165,22.146,23.141,24.241,25.150,26.141,27.191,28.152,29.146,8.115,9.141,10.151,11.136,12.169,13.159,14.145,15.131,0.000,17.179,24.120,25.278,26.140,27.151,28.160,29.141,30.230,31.300,32.303,33.118
serf20,21.137,22.303,23.163,24.320,25.300,26.126,27.316,28.119,29.185,30.163,9.104,10.132,11.160,12.177,13.159,14.148,15.181,16.170,17.138,0.000,25.117,26.203,27.132,28.233,29.149,30.195,31.255,32.263,33.163,34.245
serf21,14.108,15.239,16.099,17.149,18.252,19.103,20.152,21.168,22.172,23.193,16.272,17.274,18.137,19.140,20.122,21.138,22.199,23.271,24.155,25.226,0.000,1.089,2.104,3.140,4.132,5.109,6.119,7.089,8.133,9.190
serf22,15.141,16.198,17.314,18.154,19.132,20.151,21.225,22.203,23.149,24.167,17.198,18.259,19.147,20.182,21.144,22.246,23.166,24.344,25.279,26.186,1.087,0.000,3.167,4.091,5.150,6.150,7.131,8.178,9.106,10.188
serf23,16.278,17.264,18.185,19.178,20.139,21.204,22.183,23.156,24.202,25.228,18.188,19.136,20.123,21.104,22.188,23.173,24.162,25.249,26.174,27.159,2.096,3.126,0.000,5.155,6.156,7.098,8.109,9.110,10.100,11.114
serf24,17.180,18.212,19.180,20.166,21.280,22.183,23.149,24.146,25.184,26.315,19.277,20.160,21.123,22.136,23.173,24.151,25.288,26.125,27.172,28.208,3.103,4.140,5.124,0.000,7.198,8.122,9.156,10.089,11.152,12.202
serf25,18.135,19.148,20.139,21.140,22.145,23.192,24.152,25.216,26.175,27.236,20.147,21.128,22.301,23.138,24.135,25.159,26.333,27.210,28.192,29.194,4.119,5.089,6.102,7.160,0.000,9.093,10.129,11.155,12.162,13.167
serf26,19.223,20.256,21.158,22.160,23.155,24.183,25.313,26.143,27.349,28.169,21.289,22.179,23.192,24.125,25.177,26.267,27.286,28.303,29.252,30.276,5.116,6.142,7.144,8.168,9.148,0.000,11.135,12.179,13.126,14.159
serf27,20.288,21.263,22.175,23.120,24.187,25.166,26.282,27.295,28.293,29.266,22.096,23.179,24.127,25.130,26.145,27.189,28.337,29.161,30.173,31.195,6.136,7.099,8.136,9.130,10.157,11.145,0.000,13.166,14.191,15.155
serf28,21.204,22.219,23.120,24.136,25.185,26.125,27.153,28.297,29.300,30.155,23.129,24.134,25.179,26.174,27.319,28.295,29.127,30.164,31.140,32.159,7.092,8.062,9.143,10.139,11.127,12.154,13.167,0.000,15.214,16.176
serf29,22.136,23.255,24.294,25.160,26.150,27.145,28.214,29.304,30.202,31.157,24.138,25.133,26.120,27.189,28.167,29.337,30.140,31.170,32.143,33.190,8.070,9.114,10.084,11.124,12.173,13.141,14.179,15.195,0.000,17.130
serf30,23.217,24.141,25.155,26.130,27.191,28.147,29.352,30.276,31.190,32.157,25.160,26.173,27.170,28.297,29.183,30.273,31.145,32.158,33.195,34.240,9.128,10.173,11.104,12.158,13.122,14.121,15.112,16.143,17.179,0.000
